epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,228.31,1.57169,2.64861,1.29936,0.00847,0.05985,0.00649,0.0045,1.30792,3.74343,1.20923,0.000408333,0.000408333,0.000408333
2,471.317,1.45022,1.52689,1.25549,0.00984,0.1752,0.01086,0.0058,1.59439,15.3764,1.71683,0.000808583,0.000808583,0.000808583
3,691.34,1.46127,1.38564,1.26991,0.90645,0.14568,0.16639,0.09661,1.52389,1.78323,1.3615,0.00119225,0.00119225,0.00119225
4,891.644,1.46764,1.3849,1.26115,0.40274,0.12903,0.16507,0.10683,1.40691,1.60769,1.27719,0.00117537,0.00117537,0.00117537
5,1093.39,1.42902,1.29414,1.25813,0.88971,0.171,0.17754,0.10611,1.33953,1.45143,1.23032,0.0011505,0.0011505,0.0011505
6,1288.1,1.36818,1.23367,1.22248,0.86602,0.18317,0.214,0.13491,1.27972,1.29173,1.21298,0.00112562,0.00112562,0.00112562
7,1480.29,1.35115,1.20361,1.21012,0.69331,0.22172,0.19475,0.11904,1.29889,1.28382,1.21073,0.00110075,0.00110075,0.00110075
8,1708.1,1.38125,1.1952,1.21063,0.68921,0.24215,0.24948,0.15534,1.30603,1.16383,1.21975,0.00107588,0.00107588,0.00107588
9,1929.74,1.34178,1.16545,1.18223,0.46539,0.26154,0.23992,0.14574,1.30102,1.17274,1.2116,0.001051,0.001051,0.001051
10,2166.29,1.32253,1.14603,1.1848,0.523,0.327,0.3266,0.20847,1.21806,1.0752,1.1582,0.00102613,0.00102613,0.00102613
11,2384.35,1.30282,1.08104,1.18586,0.56409,0.37849,0.33638,0.21592,1.22729,1.09272,1.17688,0.00100125,0.00100125,0.00100125
12,2613.44,1.26146,1.07638,1.17913,0.65233,0.42155,0.39562,0.26073,1.20169,1.04919,1.16514,0.000976375,0.000976375,0.000976375
13,2858.96,1.24708,1.02095,1.14644,0.60098,0.44569,0.4271,0.28311,1.20159,1.05713,1.15679,0.0009515,0.0009515,0.0009515
14,3115.9,1.24652,1.04239,1.16489,0.67074,0.4426,0.45497,0.29988,1.17133,1.01051,1.14214,0.000926625,0.000926625,0.000926625
15,3335.7,1.23792,1.01879,1.1482,0.73105,0.47999,0.49379,0.32442,1.19743,1.01533,1.14749,0.00090175,0.00090175,0.00090175
16,3560.38,1.2042,0.99656,1.12488,0.70967,0.45755,0.49675,0.33351,1.20021,1.03279,1.14387,0.000876875,0.000876875,0.000876875
17,3771.61,1.20459,0.97581,1.13264,0.68964,0.46789,0.47778,0.33175,1.16027,0.98988,1.13178,0.000852,0.000852,0.000852
18,4015.69,1.17838,0.9624,1.13746,0.74257,0.45251,0.49939,0.33786,1.15285,0.98989,1.14176,0.000827125,0.000827125,0.000827125
19,4241.01,1.1847,0.95577,1.12319,0.68817,0.43167,0.47848,0.32505,1.12533,0.98733,1.12918,0.00080225,0.00080225,0.00080225
20,4477.31,1.16271,0.93234,1.11335,0.72726,0.48371,0.48632,0.3294,1.13666,0.95849,1.1238,0.000777375,0.000777375,0.000777375
21,4680.61,1.16015,0.91562,1.10869,0.72735,0.50487,0.52668,0.34885,1.16004,0.91416,1.13646,0.0007525,0.0007525,0.0007525
22,4924.96,1.11606,0.87974,1.08106,0.76117,0.48961,0.5126,0.3352,1.14501,0.92733,1.13714,0.000727625,0.000727625,0.000727625
23,5116.66,1.1258,0.85902,1.0982,0.72809,0.49732,0.54298,0.36294,1.1326,0.90802,1.14328,0.00070275,0.00070275,0.00070275
24,5356.37,1.14153,0.87956,1.10107,0.74939,0.51962,0.52134,0.348,1.12692,0.93402,1.12705,0.000677875,0.000677875,0.000677875
25,5573.7,1.12854,0.87673,1.08938,0.74463,0.50639,0.52647,0.35233,1.11334,0.92667,1.12046,0.000653,0.000653,0.000653
26,5821.3,1.11541,0.8307,1.08834,0.75862,0.49636,0.57986,0.38717,1.14173,0.92754,1.14148,0.000628125,0.000628125,0.000628125
27,6011.9,1.08877,0.83135,1.07953,0.76778,0.51144,0.57506,0.39633,1.13558,0.92902,1.13524,0.00060325,0.00060325,0.00060325
28,6218.91,1.09185,0.8265,1.08349,0.74358,0.51394,0.60615,0.41205,1.12253,0.87355,1.13077,0.000578375,0.000578375,0.000578375
29,6450.55,1.06637,0.78552,1.06459,0.77513,0.51145,0.58204,0.38696,1.1085,0.88188,1.12931,0.0005535,0.0005535,0.0005535
30,6715.79,1.07738,0.7889,1.0759,0.79564,0.49348,0.56825,0.38114,1.12825,0.8906,1.1407,0.000528625,0.000528625,0.000528625
31,6932.92,1.05819,0.78345,1.07615,0.76538,0.51209,0.5496,0.37108,1.12059,0.89555,1.14096,0.00050375,0.00050375,0.00050375
32,7152.9,1.0638,0.75455,1.06519,0.76431,0.51629,0.6086,0.4146,1.12968,0.90202,1.14258,0.000478875,0.000478875,0.000478875
33,7370.55,1.03396,0.75103,1.05298,0.76386,0.51496,0.59012,0.40418,1.12552,0.87556,1.137,0.000454,0.000454,0.000454
