epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.1738,1.64809,3.17361,1.33625,0.01297,0.24541,0.05354,0.02433,1.17684,3.75971,1.02576,0.0003,0.0003,0.0003
2,150.928,1.37989,1.56658,1.15579,0.00415,0.04477,0.00399,0.00174,1.24367,3.79133,1.10935,0.000600311,0.000600311,0.000600311
3,227.707,1.37793,1.42534,1.15057,0.01679,0.11466,0.01531,0.01008,1.30614,3.54901,1.13314,0.000888185,0.000888185,0.000888185
4,300.461,1.37327,1.37431,1.14338,0.32351,0.24517,0.06966,0.03909,1.32471,2.87359,1.17975,0.00116362,0.00116362,0.00116362
5,384.585,1.3778,1.30229,1.17136,0.73691,0.11558,0.13169,0.07246,1.40652,2.25748,1.19013,0.0011505,0.0011505,0.0011505
6,448.303,1.33692,1.22734,1.13289,0.71196,0.16458,0.17816,0.1082,1.30687,1.90256,1.17069,0.00112562,0.00112562,0.00112562
7,547.933,1.29839,1.18922,1.12467,0.69426,0.23057,0.21814,0.13237,1.26893,1.31692,1.15403,0.00110075,0.00110075,0.00110075
8,619.137,1.29431,1.16959,1.13295,0.70783,0.23429,0.21934,0.13113,1.26136,1.41969,1.14201,0.00107588,0.00107588,0.00107588
9,699.636,1.28883,1.1469,1.12219,0.70617,0.26554,0.23104,0.14203,1.2227,1.21835,1.11894,0.001051,0.001051,0.001051
10,774.078,1.25725,1.11232,1.10643,0.69201,0.29046,0.27535,0.16444,1.23429,1.17076,1.13739,0.00102613,0.00102613,0.00102613
11,857.275,1.27594,1.10364,1.11867,0.68872,0.22254,0.25654,0.17038,1.22495,1.09935,1.1313,0.00100125,0.00100125,0.00100125
12,919.737,1.21534,1.0598,1.09607,0.6749,0.31951,0.38128,0.2555,1.15451,1.0824,1.10254,0.000976375,0.000976375,0.000976375
13,988.733,1.22365,1.0085,1.08306,0.66665,0.39376,0.40356,0.2672,1.1804,1.0593,1.11194,0.0009515,0.0009515,0.0009515
14,1052.56,1.20204,0.99168,1.096,0.72561,0.45601,0.48339,0.3258,1.15856,1.03186,1.0937,0.000926625,0.000926625,0.000926625
15,1117.69,1.19845,0.98901,1.07507,0.70041,0.47706,0.49244,0.32723,1.13792,1.02236,1.09727,0.00090175,0.00090175,0.00090175
16,1203.2,1.19133,0.97105,1.08579,0.72016,0.50004,0.51131,0.34259,1.18693,0.98334,1.11844,0.000876875,0.000876875,0.000876875
17,1281.21,1.18475,0.95265,1.07468,0.71321,0.48038,0.49326,0.33244,1.1881,1.025,1.11912,0.000852,0.000852,0.000852
18,1340.97,1.15459,0.95293,1.07505,0.88581,0.37013,0.46198,0.31363,1.16722,1.10166,1.10434,0.000827125,0.000827125,0.000827125
19,1407.47,1.16354,0.93859,1.06225,0.5552,0.49741,0.3743,0.22162,1.16016,1.01549,1.09442,0.00080225,0.00080225,0.00080225
20,1463.99,1.13703,0.9288,1.05675,0.75316,0.50887,0.52477,0.35507,1.13417,0.97006,1.09633,0.000777375,0.000777375,0.000777375
21,1546.78,1.1326,0.90596,1.05513,0.80492,0.47021,0.54045,0.36211,1.10374,0.94395,1.08284,0.0007525,0.0007525,0.0007525
22,1631.95,1.12468,0.90185,1.05084,0.76869,0.51903,0.53312,0.36047,1.15114,0.99384,1.0905,0.000727625,0.000727625,0.000727625
23,1695.6,1.1014,0.85184,1.04104,0.75457,0.46189,0.51465,0.35383,1.13579,0.99175,1.09895,0.00070275,0.00070275,0.00070275
24,1762.67,1.11049,0.85222,1.03705,0.74963,0.4784,0.5027,0.34278,1.11643,0.96044,1.09752,0.000677875,0.000677875,0.000677875
25,1832.8,1.08368,0.8467,1.03283,0.76813,0.4816,0.49938,0.3357,1.13288,0.98476,1.10503,0.000653,0.000653,0.000653
26,1910.28,1.09613,0.83045,1.04264,0.63648,0.53716,0.55054,0.36953,1.12851,1.00391,1.10438,0.000628125,0.000628125,0.000628125
27,1980.65,1.06817,0.81691,1.03446,0.7618,0.4764,0.57508,0.38824,1.09832,0.95021,1.0853,0.00060325,0.00060325,0.00060325
28,2057.14,1.07135,0.80222,1.02703,0.67992,0.58039,0.59781,0.39981,1.10911,0.8929,1.09915,0.000578375,0.000578375,0.000578375
