epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.77305,1.99839,4.209,1.57162,0.00465,0.05546,0.00315,0.00192,1.6249,3.80804,1.1795,0.00015,0.00015,0.00015
2,15.1178,1.65441,3.48102,1.18845,0.1027,0.35526,0.09309,0.05674,1.38946,3.72515,1.06774,0.000306281,0.000306281,0.000306281
3,22.36,1.65582,2.55461,1.17089,0.04709,0.18084,0.04949,0.02773,1.33272,3.75396,1.07612,0.000456095,0.000456095,0.000456095
4,28.5584,1.59519,1.83825,1.15086,0.05234,0.33392,0.06023,0.03516,1.30008,3.68199,1.07137,0.000599441,0.000599441,0.000599441
5,34.1042,1.4833,1.57758,1.12821,0.03745,0.28357,0.05677,0.03331,1.27763,3.51555,1.08219,0.00073632,0.00073632,0.00073632
6,39.3544,1.43733,1.46619,1.12257,0.02396,0.11851,0.02087,0.01465,1.24265,3.43493,1.08744,0.000866731,0.000866731,0.000866731
7,44.5953,1.38137,1.41436,1.10465,0.0393,0.19447,0.09853,0.0657,1.26006,3.12598,1.09098,0.000990675,0.000990675,0.000990675
8,50.0846,1.38767,1.38182,1.10592,0.03636,0.37072,0.13948,0.08431,1.30526,2.70245,1.07663,0.00107588,0.00107588,0.00107588
9,55.1346,1.37704,1.33699,1.09841,0.9382,0.09915,0.2062,0.13213,1.29094,2.34396,1.09055,0.001051,0.001051,0.001051
10,60.5884,1.3592,1.28032,1.10771,0.76616,0.13225,0.26901,0.17706,1.27789,2.24309,1.09582,0.00102613,0.00102613,0.00102613
11,65.6632,1.35251,1.2476,1.10457,0.70164,0.23536,0.22954,0.15786,1.28329,1.97188,1.13265,0.00100125,0.00100125,0.00100125
12,70.7598,1.32732,1.20727,1.0866,0.67259,0.3294,0.24289,0.16171,1.28928,1.78276,1.13344,0.000976375,0.000976375,0.000976375
13,75.9581,1.30319,1.14392,1.07132,0.67104,0.2703,0.27421,0.18004,1.26745,1.5459,1.11541,0.0009515,0.0009515,0.0009515
14,81.2495,1.31242,1.14541,1.08892,0.64292,0.35473,0.31276,0.20403,1.23934,1.40081,1.08786,0.000926625,0.000926625,0.000926625
15,86.3274,1.29148,1.11973,1.07413,0.63508,0.32615,0.34118,0.22761,1.23486,1.3456,1.05805,0.00090175,0.00090175,0.00090175
16,91.4471,1.27917,1.10834,1.07991,0.56395,0.34806,0.34309,0.2141,1.23542,1.31772,1.07782,0.000876875,0.000876875,0.000876875
17,96.4545,1.27527,1.10103,1.06895,0.63122,0.37131,0.37737,0.24371,1.19054,1.12196,1.0679,0.000852,0.000852,0.000852
18,101.598,1.24136,1.09748,1.06694,0.70312,0.38652,0.43739,0.27931,1.1822,1.13387,1.06528,0.000827125,0.000827125,0.000827125
19,106.654,1.27214,1.09099,1.06026,0.61685,0.40412,0.39418,0.24676,1.21377,1.12983,1.07651,0.00080225,0.00080225,0.00080225
20,111.717,1.26928,1.06439,1.05465,0.51424,0.43694,0.35423,0.22412,1.18883,1.14578,1.07477,0.000777375,0.000777375,0.000777375
21,116.999,1.24911,1.05222,1.06198,0.61711,0.41604,0.39152,0.24385,1.20211,1.11333,1.07271,0.0007525,0.0007525,0.0007525
22,122.128,1.22998,1.0454,1.0594,0.5442,0.43808,0.38569,0.23887,1.18998,1.13032,1.06749,0.000727625,0.000727625,0.000727625
23,127.19,1.2147,1.00806,1.05172,0.6205,0.38197,0.4082,0.26762,1.18349,1.1556,1.07159,0.00070275,0.00070275,0.00070275
24,132.236,1.21286,1.00163,1.05144,0.57409,0.49388,0.43832,0.27132,1.18225,1.1099,1.0604,0.000677875,0.000677875,0.000677875
25,137.792,1.22392,1.01367,1.04838,0.68829,0.42891,0.43603,0.28458,1.1625,1.068,1.05289,0.000653,0.000653,0.000653
26,142.795,1.20584,0.96842,1.04058,0.61206,0.42733,0.42676,0.26506,1.16669,1.06365,1.06491,0.000628125,0.000628125,0.000628125
27,147.759,1.20973,0.9774,1.04718,0.56603,0.4509,0.4101,0.26276,1.1696,1.11108,1.07592,0.00060325,0.00060325,0.00060325
28,152.696,1.20235,0.98167,1.04025,0.64948,0.43811,0.44515,0.2819,1.15239,1.03654,1.05991,0.000578375,0.000578375,0.000578375
29,157.826,1.19304,0.95085,1.0274,0.61479,0.46564,0.43958,0.29308,1.13685,1.02601,1.05235,0.0005535,0.0005535,0.0005535
30,163.276,1.18827,0.94732,1.04038,0.67074,0.43954,0.45771,0.29709,1.14447,1.03411,1.06384,0.000528625,0.000528625,0.000528625
31,168.221,1.17437,0.9344,1.0341,0.6398,0.4302,0.44783,0.28916,1.17613,1.03759,1.07608,0.00050375,0.00050375,0.00050375
32,173.306,1.16627,0.92208,1.0214,0.71042,0.43187,0.45442,0.29807,1.16185,1.01207,1.06174,0.000478875,0.000478875,0.000478875
33,178.269,1.16971,0.90859,1.0251,0.75967,0.43996,0.46869,0.3032,1.13823,1.00652,1.06423,0.000454,0.000454,0.000454
34,183.742,1.14389,0.89153,1.01363,0.76456,0.44075,0.48515,0.31641,1.13322,0.99534,1.0525,0.000429125,0.000429125,0.000429125
35,189.042,1.15773,0.88195,1.0182,0.79267,0.46818,0.50197,0.31935,1.13521,1.0039,1.05765,0.00040425,0.00040425,0.00040425
36,194.089,1.13134,0.86576,1.01144,0.77005,0.462,0.49578,0.32629,1.12851,0.97149,1.05796,0.000379375,0.000379375,0.000379375
37,198.997,1.13645,0.8491,1.00288,0.72158,0.48263,0.48994,0.32203,1.14551,0.99221,1.06751,0.0003545,0.0003545,0.0003545
38,204.044,1.13225,0.8547,1.01408,0.73691,0.49388,0.50227,0.31716,1.14114,0.98554,1.05893,0.000329625,0.000329625,0.000329625
39,210.462,1.12039,0.85046,1.00669,0.75576,0.49206,0.50766,0.32036,1.13403,0.99109,1.05872,0.00030475,0.00030475,0.00030475
40,215.643,1.10053,0.81565,1.00039,0.74433,0.50158,0.51316,0.32968,1.13904,0.95142,1.05956,0.000279875,0.000279875,0.000279875
41,253.951,1.0949,0.80828,1.00822,0.76695,0.49186,0.50685,0.32969,1.12367,0.96477,1.05583,0.000255,0.000255,0.000255
42,259.321,1.09827,0.81382,1.00494,0.75936,0.47074,0.50844,0.32592,1.12166,0.95891,1.05871,0.000230125,0.000230125,0.000230125
43,265.067,1.09324,0.80878,1.00504,0.76768,0.46657,0.49541,0.32518,1.11754,0.95557,1.05651,0.00020525,0.00020525,0.00020525
