epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.0374,1.90728,3.98025,1.40559,0.05799,0.37342,0.07076,0.03754,1.45655,3.82622,1.10425,0.0003,0.0003,0.0003
2,177.605,1.77509,2.99694,1.19834,0.01245,0.04502,0.02373,0.01216,1.46673,3.95877,1.25605,0.000600373,0.000600373,0.000600373
3,258.276,1.71409,2.04395,1.16564,0.04756,0.31207,0.09091,0.05745,1.43215,3.45851,1.11051,0.00088837,0.00088837,0.00088837
4,337.045,1.5756,1.60012,1.15507,0.95066,0.09304,0.16286,0.09925,1.43514,2.39546,1.12503,0.00116399,0.00116399,0.00116399
5,417.71,1.49377,1.44907,1.13894,0.91629,0.16252,0.17652,0.1087,1.42785,1.78139,1.13221,0.001151,0.001151,0.001151
6,501.054,1.51498,1.41318,1.11558,0.9299,0.14843,0.16805,0.10183,1.36861,1.96739,1.13686,0.00112625,0.00112625,0.00112625
7,579.814,1.42811,1.39556,1.12278,0.92592,0.16764,0.18321,0.11505,1.30446,1.58872,1.12932,0.0011015,0.0011015,0.0011015
8,663.152,1.40079,1.3193,1.1084,0.92814,0.17112,0.19019,0.12046,1.28106,1.37058,1.07685,0.00107675,0.00107675,0.00107675
9,742.265,1.41495,1.3339,1.09813,0.9202,0.17698,0.19592,0.12772,1.23393,1.32062,1.05246,0.001052,0.001052,0.001052
10,821.034,1.39024,1.29846,1.10007,0.92869,0.17789,0.22904,0.14165,1.2522,1.30019,1.06654,0.00102725,0.00102725,0.00102725
11,900.558,1.41489,1.25928,1.10432,0.91615,0.1824,0.22586,0.142,1.26257,1.32086,1.08045,0.0010025,0.0010025,0.0010025
12,979.437,1.38939,1.21622,1.09956,0.75456,0.2231,0.24113,0.14518,1.19853,1.26733,1.05028,0.00097775,0.00097775,0.00097775
13,1058.28,1.3525,1.1839,1.09141,0.73789,0.24289,0.27328,0.16381,1.18513,1.21607,1.0605,0.000953,0.000953,0.000953
14,1138.01,1.34438,1.15657,1.07857,0.76374,0.21673,0.26567,0.15611,1.1891,1.17896,1.05218,0.00092825,0.00092825,0.00092825
15,1218.4,1.30648,1.10717,1.07636,0.70403,0.28105,0.25321,0.14789,1.22063,1.1797,1.07447,0.0009035,0.0009035,0.0009035
16,1297.12,1.3311,1.14204,1.08049,0.69202,0.24801,0.2265,0.13727,1.21083,1.20643,1.08633,0.00087875,0.00087875,0.00087875
17,1376.89,1.33493,1.13927,1.07203,0.73895,0.26184,0.26292,0.15591,1.1581,1.14191,1.04555,0.000854,0.000854,0.000854
18,1455.41,1.28209,1.1364,1.07216,0.75381,0.24121,0.2546,0.15314,1.16792,1.19689,1.0549,0.00082925,0.00082925,0.00082925
19,1534.04,1.31567,1.11738,1.07291,0.71773,0.279,0.26443,0.15853,1.17733,1.14859,1.0515,0.0008045,0.0008045,0.0008045
20,1612.58,1.29855,1.1251,1.06785,0.75458,0.23934,0.26102,0.15715,1.19195,1.14371,1.05545,0.00077975,0.00077975,0.00077975
21,1691.01,1.27608,1.10324,1.05338,0.77586,0.26008,0.27541,0.16334,1.1749,1.10334,1.06142,0.000755,0.000755,0.000755
22,1769.11,1.28558,1.08995,1.06751,0.75432,0.25766,0.26725,0.1564,1.21989,1.12802,1.0639,0.00073025,0.00073025,0.00073025
