epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.01009,2.61936,3.74331,2.39055,0.00072,0.00238,0.00038,0.0001,1.98759,4.18731,1.66194,0.00015,0.00015,0.00015
2,12.657,2.17908,3.60272,2.06029,0.00064,0.00256,0.00032,7e-05,2.90248,4.2332,2.29506,0.000306312,0.000306312,0.000306312
3,18.5617,2.11739,3.16808,1.98146,0.0003,0.0011,0.00016,5e-05,3.26498,4.22195,2.50113,0.00045619,0.00045619,0.00045619
4,24.374,2.1137,2.69684,2.09075,0.00046,0.00366,0.00026,7e-05,3.71452,4.22676,3.18703,0.000599632,0.000599632,0.000599632
5,30.8212,2.05958,2.52314,2.09248,0.00047,0.00403,0.00024,7e-05,3.67325,4.21831,3.1662,0.00073664,0.00073664,0.00073664
6,36.5759,2.03382,2.44365,2.12158,0.00051,0.00439,0.00026,7e-05,3.82223,4.28528,3.28869,0.000867213,0.000867213,0.000867213
7,42.1783,2.00223,2.39586,2.10318,0.00036,0.00348,0.00018,5e-05,3.94764,4.10807,3.45896,0.00099135,0.00099135,0.00099135
8,48.1593,1.94439,2.38533,2.09982,0.00034,0.00348,0.00018,5e-05,3.60787,4.16736,2.95441,0.00107675,0.00107675,0.00107675
9,53.7814,1.95865,2.38553,2.10072,0.00046,0.00641,0.00024,6e-05,3.74304,4.16187,3.01996,0.001052,0.001052,0.001052
10,59.4701,1.96968,2.38314,2.12002,0.00062,0.01135,0.00033,0.0001,3.613,4.21838,2.71087,0.00102725,0.00102725,0.00102725
11,65.2706,1.87493,2.34613,2.05058,0.00058,0.01245,0.00031,9e-05,3.60753,4.16945,2.65809,0.0010025,0.0010025,0.0010025
12,70.5881,1.90087,2.33933,2.04,0.00053,0.00747,0.00027,7e-05,3.44101,4.54293,2.71869,0.00097775,0.00097775,0.00097775
13,76.648,1.88513,2.32352,2.01911,0.00085,0.01867,0.00047,0.00012,3.65627,4.4528,2.76825,0.000953,0.000953,0.000953
14,82.2918,1.86199,2.33585,2.03304,0.00077,0.01702,0.00043,0.0001,3.72627,4.85413,2.97858,0.00092825,0.00092825,0.00092825
15,88.4011,1.83999,2.2957,2.00805,0.00069,0.01519,0.00038,0.0001,3.75337,5.40283,3.01146,0.0009035,0.0009035,0.0009035
16,94.2872,1.83246,2.29911,2.00999,0.00068,0.01482,0.00037,0.0001,3.81252,4.83471,3.08626,0.00087875,0.00087875,0.00087875
17,100.051,1.81637,2.29598,1.98902,0.00081,0.01775,0.00044,0.00011,3.84224,4.51824,3.00057,0.000854,0.000854,0.000854
18,106.179,1.80875,2.31595,1.98443,0.0006,0.01318,0.00033,9e-05,3.75991,5.27216,2.96897,0.00082925,0.00082925,0.00082925
19,112.257,1.82713,2.3134,1.98487,0.00078,0.01702,0.00044,0.00012,3.74329,4.69383,2.93946,0.0008045,0.0008045,0.0008045
20,118.2,1.7914,2.2947,1.97032,0.00081,0.01775,0.00047,0.00013,3.84118,5.38616,2.98497,0.00077975,0.00077975,0.00077975
21,124.01,1.77003,2.27509,1.95169,0.00071,0.01537,0.00039,0.0001,3.83036,4.70919,3.05188,0.000755,0.000755,0.000755
22,130.036,1.76574,2.25714,1.93579,0.00073,0.01611,0.0004,9e-05,3.82045,7.4517,2.88193,0.00073025,0.00073025,0.00073025
23,136.202,1.77826,2.28565,1.93371,0.0007,0.01537,0.00038,0.0001,3.69657,5.46839,2.87409,0.0007055,0.0007055,0.0007055
24,141.785,1.7373,2.2509,1.92616,0.00074,0.01611,0.00041,0.00011,3.66884,4.81956,2.77553,0.00068075,0.00068075,0.00068075
25,147.725,1.74146,2.25268,1.91463,0.0008,0.01739,0.00043,0.00011,3.68508,4.82074,2.7569,0.000656,0.000656,0.000656
26,153.769,1.77576,2.28322,1.93521,0.001,0.02196,0.00055,0.00013,3.64789,4.37466,2.68842,0.00063125,0.00063125,0.00063125
27,159.551,1.7519,2.26071,1.91394,0.00105,0.02306,0.00058,0.00014,3.65444,4.24448,2.74835,0.0006065,0.0006065,0.0006065
28,165.612,1.74555,2.27654,1.89771,0.001,0.02178,0.00055,0.00014,3.69527,4.28935,2.82886,0.00058175,0.00058175,0.00058175
29,171.689,1.74411,2.30725,1.90384,0.00093,0.02031,0.00051,0.00012,3.75066,4.85841,2.88957,0.000557,0.000557,0.000557
30,178.14,1.75875,2.25723,1.91532,0.00082,0.01794,0.00045,0.00011,3.73381,5.42352,2.79754,0.00053225,0.00053225,0.00053225
31,184.431,1.76937,2.26954,1.89774,0.00096,0.02105,0.00053,0.00014,3.70868,5.41018,2.73851,0.0005075,0.0005075,0.0005075
32,190.524,1.73066,2.2601,1.87851,0.00094,0.0205,0.00053,0.00016,3.62041,5.10562,2.69398,0.00048275,0.00048275,0.00048275
33,196.595,1.70948,2.27308,1.86661,0.00115,0.02526,0.00066,0.00019,3.57224,4.74076,2.62395,0.000458,0.000458,0.000458
34,202.637,1.73373,2.2851,1.90309,0.00108,0.02379,0.00063,0.00018,3.62841,4.60632,2.61273,0.00043325,0.00043325,0.00043325
35,208.492,1.70093,2.26426,1.86819,0.00099,0.0216,0.00056,0.00017,3.61991,4.45868,2.61647,0.0004085,0.0004085,0.0004085
36,214.703,1.70811,2.24713,1.88845,0.00114,0.02507,0.00067,0.00019,3.58444,4.0152,2.64788,0.00038375,0.00038375,0.00038375
37,220.785,1.69195,2.26051,1.87522,0.00107,0.02343,0.0006,0.00016,3.61473,4.39482,2.6672,0.000359,0.000359,0.000359
38,226.976,1.70116,2.26041,1.87135,0.00096,0.02105,0.00056,0.00016,3.64613,4.68415,2.66125,0.00033425,0.00033425,0.00033425
39,232.942,1.69824,2.24918,1.86368,0.00108,0.02361,0.00063,0.00017,3.6006,4.38736,2.68052,0.0003095,0.0003095,0.0003095
40,239.215,1.69712,2.23186,1.84703,0.00108,0.02379,0.00065,0.00019,3.66334,4.14925,2.58753,0.00028475,0.00028475,0.00028475
41,277.327,1.64837,3.8257,1.76516,0.001,0.02196,0.00059,0.00016,3.74289,4.27571,2.61602,0.00026,0.00026,0.00026
42,283.291,1.64512,3.23682,1.75843,0.00084,0.01848,0.00047,0.00013,3.80668,3.6786,2.64029,0.00023525,0.00023525,0.00023525
43,288.587,1.6199,2.97133,1.76256,0.00105,0.02306,0.00059,0.00017,3.6324,3.48349,2.57061,0.0002105,0.0002105,0.0002105
44,293.64,1.61195,2.863,1.76686,0.00104,0.02269,0.00058,0.00015,3.55479,3.5265,2.47796,0.00018575,0.00018575,0.00018575
45,298.671,1.65525,2.89082,1.75502,0.00117,0.02507,0.00065,0.00018,3.5172,3.56295,2.44811,0.000161,0.000161,0.000161
46,303.905,1.62332,2.91073,1.72296,0.0013,0.02764,0.00073,0.0002,3.51013,3.55107,2.46341,0.00013625,0.00013625,0.00013625
47,309.23,1.60853,2.82572,1.71413,0.00133,0.02818,0.00075,0.0002,3.50384,3.55335,2.46293,0.0001115,0.0001115,0.0001115
