epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.5495,1.61417,2.79872,1.28386,0.00659,0.06069,0.01491,0.00726,1.24514,3.81836,1.0911,0.000408333,0.000408333,0.000408333
2,34.7443,1.40846,1.56963,1.18626,0.02115,0.20642,0.04352,0.02447,1.34901,2.99149,1.1529,0.000808583,0.000808583,0.000808583
3,51.8471,1.41381,1.45488,1.2004,0.91583,0.15793,0.1834,0.11226,1.31661,1.75442,1.18077,0.00119225,0.00119225,0.00119225
4,68.7908,1.4577,1.4222,1.21631,0.73487,0.17553,0.17345,0.1062,1.33386,1.45166,1.19694,0.00117537,0.00117537,0.00117537
5,85.2098,1.38385,1.31884,1.19115,0.70988,0.20744,0.22086,0.13607,1.29205,1.33046,1.17422,0.0011505,0.0011505,0.0011505
6,102.072,1.34766,1.25797,1.16163,0.72682,0.27715,0.27427,0.16568,1.24018,1.1657,1.13886,0.00112562,0.00112562,0.00112562
7,118.956,1.31952,1.19811,1.1575,0.73927,0.28102,0.25753,0.14705,1.24881,1.16025,1.13542,0.00110075,0.00110075,0.00110075
8,135.758,1.29604,1.15652,1.13994,0.69975,0.26858,0.25539,0.15888,1.20881,1.10555,1.12879,0.00107588,0.00107588,0.00107588
9,152.769,1.28577,1.14218,1.12953,0.72073,0.25407,0.24615,0.15383,1.27319,1.1485,1.1781,0.001051,0.001051,0.001051
10,169.711,1.29931,1.1265,1.15132,0.61579,0.415,0.43138,0.27704,1.2305,1.11689,1.13812,0.00102613,0.00102613,0.00102613
11,186.757,1.25567,1.07682,1.13305,0.74413,0.45703,0.48409,0.31239,1.17888,1.06907,1.12425,0.00100125,0.00100125,0.00100125
12,203.698,1.23747,1.0744,1.1303,0.69974,0.48636,0.47429,0.30665,1.18325,1.05366,1.11773,0.000976375,0.000976375,0.000976375
13,220.276,1.23035,1.00919,1.10314,0.6503,0.51606,0.48281,0.31893,1.18458,1.005,1.12943,0.0009515,0.0009515,0.0009515
14,237.375,1.22428,1.03645,1.12944,0.68443,0.47932,0.48804,0.31764,1.17647,1.04219,1.12232,0.000926625,0.000926625,0.000926625
15,254.172,1.21389,1.00565,1.10525,0.72609,0.47924,0.48607,0.3348,1.17215,1.00729,1.11461,0.00090175,0.00090175,0.00090175
16,271.094,1.18994,0.99932,1.092,0.72899,0.50149,0.5188,0.3511,1.1367,0.98428,1.09878,0.000876875,0.000876875,0.000876875
17,288.002,1.18912,0.96481,1.0969,0.68175,0.48628,0.529,0.35856,1.14569,0.94906,1.10746,0.000852,0.000852,0.000852
18,305.278,1.1551,0.94309,1.10011,0.73836,0.49154,0.51848,0.35053,1.13992,0.95749,1.11132,0.000827125,0.000827125,0.000827125
19,322.093,1.17556,0.95035,1.09274,0.72533,0.4794,0.53082,0.35403,1.14027,0.96073,1.1017,0.00080225,0.00080225,0.00080225
20,339.18,1.14685,0.9163,1.07724,0.74367,0.48408,0.5356,0.3647,1.11536,0.94683,1.08746,0.000777375,0.000777375,0.000777375
21,356.031,1.16,0.90947,1.08031,0.71064,0.48617,0.51161,0.35046,1.12821,0.93858,1.08819,0.0007525,0.0007525,0.0007525
22,373.056,1.1192,0.87972,1.05605,0.74999,0.51733,0.53745,0.3557,1.14202,0.91574,1.10921,0.000727625,0.000727625,0.000727625
23,389.938,1.12306,0.86585,1.06482,0.7397,0.5038,0.5339,0.36528,1.10205,0.91443,1.08694,0.00070275,0.00070275,0.00070275
24,406.832,1.12359,0.86804,1.06459,0.77061,0.51017,0.54832,0.37263,1.0967,0.89858,1.08351,0.000677875,0.000677875,0.000677875
25,423.527,1.11404,0.86913,1.05884,0.73548,0.52144,0.56244,0.36569,1.10177,0.90994,1.08419,0.000653,0.000653,0.000653
26,440.555,1.10234,0.8478,1.05174,0.73576,0.4912,0.59777,0.37442,1.12072,0.9417,1.10921,0.000628125,0.000628125,0.000628125
27,457.514,1.07585,0.83406,1.04301,0.76977,0.52338,0.64299,0.42176,1.12312,0.90318,1.11108,0.00060325,0.00060325,0.00060325
28,474.61,1.08911,0.8296,1.04775,0.52784,0.57622,0.63,0.42657,1.10756,0.92933,1.09388,0.000578375,0.000578375,0.000578375
29,491.709,1.07073,0.79084,1.03819,0.75557,0.51398,0.63103,0.42533,1.10891,0.90128,1.10452,0.0005535,0.0005535,0.0005535
30,508.378,1.07249,0.79815,1.04728,0.61748,0.57285,0.62288,0.4088,1.09473,0.91401,1.0837,0.000528625,0.000528625,0.000528625
31,525.278,1.06214,0.79456,1.04352,0.75096,0.54055,0.56516,0.38686,1.12818,0.91116,1.11174,0.00050375,0.00050375,0.00050375
32,542.134,1.06459,0.77371,1.03223,0.69692,0.58167,0.63368,0.43688,1.11064,0.89996,1.09402,0.000478875,0.000478875,0.000478875
33,559.098,1.02684,0.75048,1.01859,0.65291,0.58827,0.62568,0.41383,1.10168,0.89433,1.09858,0.000454,0.000454,0.000454
34,576.08,1.03747,0.75431,1.0206,0.73334,0.58358,0.61092,0.41023,1.09393,0.87139,1.08938,0.000429125,0.000429125,0.000429125
35,593.051,1.00843,0.72194,1.0153,0.73817,0.59434,0.62325,0.41845,1.11863,0.8875,1.10776,0.00040425,0.00040425,0.00040425
36,609.943,1.01472,0.71556,1.01554,0.71924,0.54374,0.63047,0.44433,1.09116,0.87964,1.09284,0.000379375,0.000379375,0.000379375
37,626.884,1.01533,0.70225,1.0152,0.7382,0.60416,0.65798,0.46561,1.09181,0.85552,1.09711,0.0003545,0.0003545,0.0003545
38,643.768,0.98855,0.69146,1.00798,0.76096,0.60053,0.66942,0.44953,1.09172,0.8639,1.09425,0.000329625,0.000329625,0.000329625
39,660.704,0.99728,0.68951,1.0097,0.76397,0.6673,0.71007,0.47956,1.08689,0.86844,1.0992,0.00030475,0.00030475,0.00030475
40,677.83,0.97196,0.66847,1.00216,0.73068,0.66915,0.70953,0.50138,1.09202,0.87801,1.1015,0.000279875,0.000279875,0.000279875
