epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.0571,2.06952,4.21157,1.56468,0.00336,0.05549,0.00284,0.00163,1.48929,3.90067,1.19256,0.00015,0.00015,0.00015
2,12.5216,1.69446,3.58584,1.19725,0.05256,0.32075,0.0742,0.04448,1.34097,3.73262,1.08528,0.000306312,0.000306312,0.000306312
3,19.6205,1.72689,2.72932,1.16952,0.03008,0.28221,0.06444,0.03787,1.32647,3.73856,1.11586,0.00045619,0.00045619,0.00045619
4,25.0048,1.66061,1.91031,1.15642,0.03144,0.2948,0.05131,0.02882,1.37253,3.69671,1.09498,0.000599632,0.000599632,0.000599632
5,30.7403,1.56357,1.57098,1.13577,0.03072,0.27804,0.06389,0.03586,1.38443,3.57022,1.11107,0.00073664,0.00073664,0.00073664
6,35.9733,1.4777,1.45288,1.13206,0.03103,0.19015,0.06031,0.03914,1.28323,3.43804,1.1081,0.000867213,0.000867213,0.000867213
7,41.3189,1.46796,1.3866,1.10568,0.02959,0.17978,0.06792,0.04361,1.29703,3.42043,1.14149,0.00099135,0.00099135,0.00099135
8,46.5717,1.41624,1.36763,1.09335,0.03487,0.3344,0.11107,0.07099,1.34531,2.92118,1.12115,0.00107675,0.00107675,0.00107675
9,51.7778,1.36545,1.29506,1.08827,0.94855,0.0937,0.15813,0.10321,1.26357,2.36994,1.07751,0.001052,0.001052,0.001052
10,56.8099,1.38611,1.27765,1.09595,0.94909,0.13671,0.18356,0.11221,1.28451,2.09014,1.08054,0.00102725,0.00102725,0.00102725
11,61.7928,1.35029,1.21395,1.09077,0.7471,0.1319,0.18074,0.11393,1.26072,2.10715,1.10308,0.0010025,0.0010025,0.0010025
12,67.1397,1.38493,1.22775,1.09896,0.91237,0.1832,0.20867,0.12623,1.24158,1.60474,1.10002,0.00097775,0.00097775,0.00097775
13,72.1026,1.3583,1.20235,1.09026,0.75094,0.21788,0.23719,0.13847,1.22752,1.4051,1.09548,0.000953,0.000953,0.000953
14,77.2291,1.35978,1.19108,1.08786,0.73913,0.23642,0.23922,0.13976,1.21108,1.27688,1.07653,0.00092825,0.00092825,0.00092825
15,83.4391,1.33049,1.13838,1.06916,0.70001,0.24674,0.2361,0.13732,1.22355,1.27716,1.09398,0.0009035,0.0009035,0.0009035
