epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.2823,1.92031,3.98609,1.4195,0.04179,0.252,0.05263,0.0303,1.40909,3.81521,1.12428,0.0003,0.0003,0.0003
2,14.9726,1.73548,3.02096,1.19426,0.0377,0.27269,0.0617,0.03483,1.38922,3.72288,1.12031,0.000600311,0.000600311,0.000600311
3,20.7858,1.6987,2.00807,1.16635,0.03772,0.30825,0.07126,0.04228,1.35104,3.44097,1.1071,0.000888185,0.000888185,0.000888185
4,26.6977,1.59267,1.64295,1.16445,0.94177,0.10368,0.1548,0.09104,1.46352,2.34137,1.13542,0.00116362,0.00116362,0.00116362
5,32.3707,1.52894,1.47329,1.14137,0.92446,0.16051,0.17106,0.10394,1.45621,1.84018,1.15754,0.0011505,0.0011505,0.0011505
6,38.0879,1.45564,1.42774,1.12941,0.92404,0.16654,0.17694,0.11319,1.31698,1.61152,1.10629,0.00112562,0.00112562,0.00112562
7,43.8446,1.48272,1.42165,1.13859,0.92048,0.16526,0.17615,0.11137,1.33738,1.50087,1.1073,0.00110075,0.00110075,0.00110075
8,49.4977,1.44049,1.38449,1.11605,0.92166,0.17149,0.19402,0.12351,1.30981,1.35771,1.10145,0.00107588,0.00107588,0.00107588
9,55.1312,1.3886,1.28938,1.09909,0.9257,0.17789,0.21505,0.13116,1.27203,1.23305,1.08069,0.001051,0.001051,0.001051
10,60.8517,1.35829,1.23737,1.08724,0.71466,0.22685,0.21452,0.13314,1.26629,1.23363,1.07481,0.00102613,0.00102613,0.00102613
11,66.6135,1.36816,1.19757,1.08653,0.74707,0.22236,0.23246,0.13824,1.29771,1.19255,1.08515,0.00100125,0.00100125,0.00100125
12,72.2372,1.39481,1.21944,1.09481,0.73747,0.25615,0.2482,0.14914,1.22315,1.1525,1.07663,0.000976375,0.000976375,0.000976375
13,77.9582,1.36115,1.1965,1.09418,0.70225,0.26825,0.24003,0.13951,1.22573,1.16538,1.06944,0.0009515,0.0009515,0.0009515
14,83.7363,1.36095,1.18042,1.09385,0.73963,0.24924,0.24972,0.15106,1.22986,1.16142,1.07817,0.000926625,0.000926625,0.000926625
15,89.5418,1.32189,1.15646,1.07199,0.72344,0.24581,0.24697,0.1453,1.24569,1.14266,1.07927,0.00090175,0.00090175,0.00090175
16,95.4223,1.32445,1.1391,1.08565,0.71701,0.26465,0.26288,0.15212,1.23164,1.13086,1.06357,0.000876875,0.000876875,0.000876875
17,100.95,1.296,1.13922,1.08228,0.69213,0.26275,0.254,0.15313,1.18721,1.11693,1.05512,0.000852,0.000852,0.000852
18,106.582,1.29802,1.12382,1.06309,0.71437,0.27921,0.25409,0.15159,1.18856,1.09336,1.06528,0.000827125,0.000827125,0.000827125
19,112.274,1.29761,1.0935,1.07797,0.74555,0.26667,0.25876,0.15463,1.19712,1.11414,1.05507,0.00080225,0.00080225,0.00080225
20,118.041,1.28985,1.08574,1.06405,0.73223,0.24502,0.258,0.15379,1.16015,1.09011,1.04417,0.000777375,0.000777375,0.000777375
21,123.668,1.27375,1.06438,1.06527,0.73157,0.26401,0.26727,0.16032,1.18509,1.08589,1.04982,0.0007525,0.0007525,0.0007525
22,129.116,1.29959,1.06127,1.07202,0.72297,0.26715,0.26767,0.16237,1.1748,1.10839,1.04711,0.000727625,0.000727625,0.000727625
23,134.888,1.27083,1.06805,1.06653,0.72867,0.28972,0.27044,0.16546,1.15497,1.05304,1.04497,0.00070275,0.00070275,0.00070275
24,140.722,1.25345,1.03709,1.0593,0.70972,0.25726,0.25671,0.15335,1.1764,1.09295,1.05858,0.000677875,0.000677875,0.000677875
25,146.299,1.25515,1.04491,1.05624,0.72225,0.27775,0.27546,0.16568,1.15899,1.04808,1.04748,0.000653,0.000653,0.000653
26,151.945,1.24772,1.04314,1.04781,0.72525,0.28264,0.29218,0.17472,1.17849,1.09413,1.06196,0.000628125,0.000628125,0.000628125
27,157.537,1.21264,1.02357,1.05161,0.70534,0.25168,0.24986,0.15412,1.16385,1.17428,1.0598,0.00060325,0.00060325,0.00060325
28,163.092,1.25451,1.01057,1.03575,0.71153,0.25839,0.28123,0.16801,1.14074,1.0335,1.03971,0.000578375,0.000578375,0.000578375
29,168.768,1.22852,1.01011,1.04251,0.73895,0.26715,0.27755,0.17069,1.14236,1.0462,1.04063,0.0005535,0.0005535,0.0005535
30,174.44,1.23681,1.00899,1.03299,0.72321,0.28144,0.28219,0.16968,1.13458,1.05027,1.03073,0.000528625,0.000528625,0.000528625
31,180.253,1.22727,1.00066,1.04441,0.74192,0.27493,0.27782,0.16577,1.11899,1.02804,1.03627,0.00050375,0.00050375,0.00050375
32,185.982,1.22447,0.99916,1.03626,0.70591,0.28494,0.2776,0.17017,1.10842,1.02824,1.02816,0.000478875,0.000478875,0.000478875
33,191.669,1.19958,0.97811,1.03826,0.73999,0.28495,0.28803,0.17478,1.14086,1.05333,1.0421,0.000454,0.000454,0.000454
34,197.31,1.2563,1.01743,1.04262,0.75001,0.29487,0.29824,0.17866,1.147,1.02482,1.04678,0.000429125,0.000429125,0.000429125
35,202.866,1.21301,0.9742,1.03101,0.73042,0.29147,0.29187,0.17945,1.11948,0.99381,1.02361,0.00040425,0.00040425,0.00040425
36,208.51,1.20162,0.97247,1.039,0.70817,0.30341,0.28872,0.17851,1.10906,1.01999,1.02382,0.000379375,0.000379375,0.000379375
37,214.102,1.17199,0.91834,1.01895,0.73486,0.27716,0.2963,0.18078,1.10951,1.0043,1.02454,0.0003545,0.0003545,0.0003545
38,219.755,1.20045,0.93431,1.01916,0.73436,0.28718,0.31042,0.18871,1.11952,1.00086,1.0342,0.000329625,0.000329625,0.000329625
39,225.348,1.1905,0.94583,1.0248,0.7668,0.27305,0.31771,0.1924,1.13775,0.99201,1.03949,0.00030475,0.00030475,0.00030475
40,230.938,1.18481,0.93973,1.02689,0.75895,0.27957,0.31263,0.19365,1.1245,0.9845,1.03268,0.000279875,0.000279875,0.000279875
41,270.389,1.15945,0.95741,1.01336,0.77155,0.28282,0.32096,0.19485,1.13059,0.9994,1.0382,0.000255,0.000255,0.000255
42,276.116,1.13133,0.92952,1.01012,0.74179,0.30027,0.34312,0.21898,1.10884,0.98834,1.02775,0.000230125,0.000230125,0.000230125
43,281.586,1.1187,0.9248,1.00113,0.7687,0.29252,0.36753,0.24457,1.10099,0.97388,1.02792,0.00020525,0.00020525,0.00020525
44,287.01,1.10729,0.88975,0.99885,0.68021,0.37261,0.37423,0.24642,1.11486,0.9926,1.02621,0.000180375,0.000180375,0.000180375
45,292.592,1.11544,0.90072,1.00059,0.68022,0.39963,0.38735,0.2552,1.10705,0.99059,1.02246,0.0001555,0.0001555,0.0001555
46,298.281,1.08626,0.87596,0.99217,0.69148,0.41284,0.40069,0.2625,1.11481,0.98439,1.03183,0.000130625,0.000130625,0.000130625
47,303.92,1.08705,0.88035,0.9967,0.69011,0.40231,0.39225,0.26458,1.09972,0.98176,1.02169,0.00010575,0.00010575,0.00010575
48,309.652,1.10146,0.8681,1.00206,0.68694,0.40584,0.39571,0.26622,1.10947,0.98599,1.02905,8.0875e-05,8.0875e-05,8.0875e-05
49,315.154,1.10438,0.88201,0.9978,0.68225,0.41739,0.39741,0.26724,1.10427,0.98264,1.0271,5.6e-05,5.6e-05,5.6e-05
50,320.651,1.08332,0.85695,0.99277,0.68259,0.41638,0.39928,0.26701,1.10465,0.97688,1.02824,3.1125e-05,3.1125e-05,3.1125e-05
