epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.29358,1.92031,3.98609,1.4195,0.04179,0.252,0.05263,0.0303,1.40909,3.81521,1.12428,0.0003,0.0003,0.0003
2,12.834,1.73383,3.02021,1.19392,0.03398,0.2519,0.06127,0.03433,1.37876,3.74802,1.13174,0.000600373,0.000600373,0.000600373
3,18.1611,1.69243,2.00223,1.16349,0.05133,0.27515,0.0728,0.04469,1.36132,3.47162,1.11553,0.00088837,0.00088837,0.00088837
4,23.417,1.59466,1.64198,1.16889,0.93922,0.06894,0.1291,0.07718,1.48628,2.61489,1.17361,0.00116399,0.00116399,0.00116399
5,28.7194,1.53896,1.48036,1.14426,0.93155,0.14111,0.15966,0.09628,1.46594,2.04103,1.17637,0.001151,0.001151,0.001151
6,34.106,1.45832,1.42522,1.12608,0.9333,0.1336,0.16104,0.10165,1.39132,1.97832,1.1399,0.00112625,0.00112625,0.00112625
